epoch,train_loss,val_loss,val_accuracy
1,0.9282839307433939,0.6851613803269112,76.3519313304721
2,0.5799658401575807,0.5350351613270093,80.64377682403433
3,0.45133750079429313,0.44801076715939664,83.6480686695279
4,0.3635408878581573,0.33993528089294694,85.83690987124464
5,0.32192240123420135,0.30877561979506113,88.71244635193133
6,0.27524451595054916,0.2902579203962463,90.0
7,0.23523412214923803,0.23432923766644034,91.88841201716738
8,0.19904798434485924,0.20076207908457272,92.6609442060086
9,0.18155170487214442,0.19194010369581718,93.2618025751073
10,0.15763886546563,0.19747566837460212,93.21888412017168
11,0.15236352243754145,0.1619370366280822,94.07725321888411
12,0.13908604445089012,0.15640065706756018,94.46351931330472
13,0.12834371303444192,0.14480843693528272,95.23605150214593
14,0.11503205941479704,0.11366506945341825,96.05150214592275
15,0.10686543492013462,0.11959203165534833,96.39484978540771
16,0.10114186094620915,0.10885966242584463,96.52360515021459
17,0.08530629331194987,0.1296646312542566,95.92274678111588
18,0.08400841179935338,0.1298853762460592,96.09442060085837
19,0.07709073996145839,0.10629993404759323,96.30901287553648
20,0.0670828002637367,0.10057625980499162,96.9098712446352
21,0.07541811706702391,0.09557756982514098,96.82403433476395
22,0.060057096829165844,0.11614129218043223,96.78111587982833
23,0.05636389387336126,0.09774266981219949,97.12446351931331
24,0.05770231920776072,0.08898461800330153,97.33905579399142
25,0.057863448827833654,0.12516986766721644,96.69527896995707
26,0.04797850554882332,0.08570352285679379,97.46781115879828
27,0.04424694443858318,0.12753214227667156,96.52360515021459
28,0.045574517726454856,0.1049624454686163,97.21030042918454
29,0.043756621807342404,0.0993569107959047,97.42489270386267
30,0.0393294708333648,0.09154312275047095,97.85407725321889
