epoch,train_loss,val_loss,val_accuracy
1,0.9200316213025916,0.6083446070551872,80.24032042723631
2,0.5613137024295766,0.412518988022717,84.66526797634943
3,0.4377597606536455,0.3414408787176376,87.22105664695785
4,0.38924559451094487,0.30791499892749435,88.59431623116537
5,0.3555918907201508,0.2829676407003185,89.50982262063704
6,0.334903977436536,0.26327789624834935,90.90215525462521
7,0.3096746987345197,0.24179002669889751,91.56971199694831
8,0.28513805876576864,0.2201370821993162,92.19912263971008
9,0.27187209707548526,0.19841351834829987,93.07648292962044
10,0.2588441154192679,0.1890310397280789,93.47701697501431
11,0.23873372785406324,0.17892548778071637,93.32443257676903
12,0.23038304557955666,0.1661753546355701,93.97291626931147
13,0.22347697287672993,0.16497310788211664,94.35437726492466
14,0.21488602251302813,0.15526374570298485,94.29715811558268
15,0.20495095944157007,0.15059593929795595,94.79305740987985
16,0.20234661082532712,0.1432658764136183,94.96471485790578
17,0.19653340022465804,0.1410487586995814,95.25081060461568
18,0.19056539146567514,0.14256912057015408,94.94564180812512
19,0.18742003940079907,0.139632387785241,95.30802975395765
20,0.18227010691345374,0.13398798266085002,95.42246805264162
21,0.1767976818231457,0.12688133985985342,95.68949074957087
22,0.1749276675528097,0.12715382783435195,95.91836734693877
23,0.17583665318173788,0.12370398924714408,96.05187869540339
24,0.17128497836742232,0.12404307772450876,95.97558649628076
25,0.16560615870601883,0.11917923056952111,96.20446309364867
26,0.16583044623825471,0.12041536327905772,96.1472439443067
27,0.1653693507868433,0.1239517008056637,95.9565134465001
28,0.16259148907308216,0.11408021121013273,96.49055884035857
29,0.1569139992579727,0.11712494874429866,96.33797444211329
30,0.1554227390272611,0.11005436360165931,96.68128933816517
